,data_base,modalidade,porte,valor_deflacionado
325,2012-11-01,Empréstimo com consignação em folha,Até 1 salário mínimo,20041795736.307762
326,2012-11-01,Empréstimo com consignação em folha,Indisponível,259509231.80534458
327,2012-11-01,Empréstimo com consignação em folha,Mais de 10 a 20 salários mínimos,29531182603.153625
328,2012-11-01,Empréstimo com consignação em folha,Mais de 1 a 2 salários mínimos,26814798141.29428
329,2012-11-01,Empréstimo com consignação em folha,Mais de 2 a 3 salários mínimos,21398594906.56638
330,2012-11-01,Empréstimo com consignação em folha,Mais de 3 a 5 salários mínimos,36065666252.790436
331,2012-11-01,Empréstimo com consignação em folha,Mais de 5 a 10 salários mínimos,45778831090.89764
332,2012-11-01,Empréstimo com consignação em folha,Sem rendimento,20789974373.953537
333,2012-11-01,Empréstimo sem consignação em folha,Acima de 20 salários mínimos,16763423434.692661
334,2012-11-01,Empréstimo sem consignação em folha,Até 1 salário mínimo,2743879097.9085107
