,data_base,modalidade,numero_de_operacoes
653,2020-03,Empréstimo sem consignação em folha,27242524
654,2020-03,Habitacional,6605320
655,2020-03,Outros créditos,47808451
656,2020-03,Rural e agroindustrial,3542255
657,2020-03,Veículos,10563181
658,2020-04,Cartão de crédito,237554077
659,2020-04,Empréstimo com consignação em folha,53686320
660,2020-04,Empréstimo sem consignação em folha,27111507
661,2020-04,Habitacional,6629429
662,2020-04,Outros créditos,46128142
663,2020-04,Rural e agroindustrial,3521496
664,2020-04,Veículos,10461326
665,2020-05,Cartão de crédito,228709846
666,2020-05,Empréstimo com consignação em folha,52858471
667,2020-05,Empréstimo sem consignação em folha,26167747
668,2020-05,Habitacional,6650521
669,2020-05,Outros créditos,44445791
670,2020-05,Rural e agroindustrial,3490476
671,2020-05,Veículos,10380461
672,2020-06,Cartão de crédito,222707627
