Municipio;valor_2013;valor_2014;valor_2015;valor_2016;valor_2017;valor_2018;valor_2019;valor_2020;valor_2021;valor_2022;valor_Total;valor2_2013;valor2_2014;valor2_2015;valor2_2016;valor2_2017;valor2_2018;valor2_2019;valor2_2020;valor2_2021;valor2_2022;valor2_Total;valor3_2013;valor3_2014;valor3_2015;valor3_2016;valor3_2017;valor3_2018;valor3_2019;valor3_2020;valor3_2021;valor3_2022;valor3_Total;valor4_2013;valor4_2014;valor4_2015;valor4_2016;valor4_2017;valor4_2018;valor4_2019;valor4_2020;valor4_2021;valor4_2022;valor4_Total;valor5_2013;valor5_2014;valor5_2015;valor5_2016;valor5_2017;valor5_2018;valor5_2019;valor5_2020;valor5_2021;valor5_2022;valor5_Total;AIH_2013;AIH_2014;AIH_2015;AIH_2016;AIH_2017;AIH_2018;AIH_2019;AIH_2020;AIH_2021;AIH_2022;AIH_Total;AIH1_2013;AIH1_2014;AIH1_2015;AIH1_2016;AIH1_2017;AIH1_2018;AIH1_2019;AIH1_2020;AIH1_2021;AIH1_2022;AIH1_Total;AIH2_2013;AIH2_2014;AIH2_2015;AIH2_2016;AIH2_2017;AIH2_2018;AIH2_2019;AIH2_2020;AIH2_2021;AIH2_2022;AIH2_Total;AIH3_2013;AIH3_2014;AIH3_2015;AIH3_2016;AIH3_2017;AIH3_2018;AIH3_2019;AIH3_2020;AIH3_2021;AIH3_2022;AIH3_Total;AIH4_2013;AIH4_2014;AIH4_2015;AIH4_2016;AIH4_2017;AIH4_2018;AIH4_2019;AIH4_2020;AIH4_2021;AIH4_2022;AIH4_Total;AIH5_2013;AIH5_2014;AIH5_2015;AIH5_2016;AIH5_2017;AIH5_2018;AIH5_2019;AIH5_2020;AIH5_2021;AIH5_2022;AIH5_Total;obito_2013;obito_2014;obito_2015;obito_2016;obito_2017;obito_2018;obito_2019;obito_2020;obito_2021;obito_2022;obito_Total;mortalidade_2013;mortalidade_2014;mortalidade_2015;mortalidade_2016;mortalidade_2017;mortalidade_2018;mortalidade_2019;mortalidade_2020;mortalidade_2021;mortalidade_2022;mortalidade_Total;dias_2013;dias_2014;dias_2015;dias_2016;dias_2017;dias_2018;dias_2019;dias_2020;dias_2021;dias_2022;dias_Total
110029 SANTA LUZIA D'OESTE;269972.56;284304.22;279547.18;246665.19;222242.62;252980.21;248081.92;136482.08;238647.69;243544.79;2422468.46;;;;;;;;;;;;269972.56;284304.22;279547.18;246665.19;222242.62;252980.21;248081.92;136482.08;238647.69;243544.79;2422468.46;;;;;;;;;;;;;;;;;;;;;;;767;755;767;751;630;710;668;383;391;666;6488;;;;;;;;;;;;;;;;;;;;;;;767;755;767;751;630;710;668;383;391;666;6488;;;;;;;;;;;;;;;;;;;;;;;5;5;5;5;7;9;11;9;17;12;85;0.65;0.66;0.65;0.67;1.11;1.27;1.65;2.35;4.35;1.8;1.31;2546;2696;2667;2592;2202;2460;2719;1424;1541;2477;23324
110030 VILHENA;4330591.36;5332713.8;5381082.99;4079924.69;4618173.46;5344135.47;6036679.42;6729711.87;11126641.99;8047383.38;61027038.43;;;;;;;;;;;;2865327.37;3076242.19;3240909.4;2490087.29;2727746.04;3020378.7;3277112.52;4293978.3;8639309.15;5166858.19;38797949.15;1465263.99;2256471.61;2135161.7;1584589.14;1874665.27;2320083.51;2756062.27;2435733.57;2487332.84;2880525.19;22195889.09;;;5011.89;5248.26;15762.15;3673.26;3504.63;;;;33200.19;6677;11332;11310;8680;9407;10088;10797;9394;9036;8004;94725;;;;;;;;;;;;;;;;;;;;;;;4650;7977;8129;6081;6560;6910;7306;6408;6193;4904;65118;2027;3355;3178;2597;2842;3176;3490;2986;2843;3100;29594;;;3;2;5;2;1;;;;13;291;312;279;237;231;301;304;351;562;283;3151;4.36;2.75;2.47;2.73;2.46;2.98;2.82;3.74;6.22;3.54;3.33;29761;38305;37152;29870;32850;38179;39437;34017;40615;34704;354890
110032 SAO MIGUEL DO GUAPORE;572615.85;639005.77;444218.3;525695.75;683402.04;590973.55;438468.06;586547.96;865694.42;704999.01;6051620.71;;;;;;;;;;;;387670.93;341201.27;306818.49;293874.08;376652.57;314665.4;225125.52;262649.32;585779.68;435820.04;3530257.3;184944.92;297804.5;137399.81;231821.67;306749.47;276308.15;213342.54;323898.64;279914.74;269178.97;2521363.41;;;;;;;;;;;;1521;1586;1079;1185;1580;1436;1009;1237;1570;1531;13734;;;;;;;;;;;;;;;;;;;;;;;1143;1012;875;816;1083;969;628;693;1076;1067;9362;378;574;204;369;497;467;381;544;494;464;4372;;;;;;;;;;;;5;13;16;19;15;18;19;21;33;21;180;0.33;0.82;1.48;1.6;0.95;1.25;1.88;1.7;2.1;1.37;1.31;3578;3974;2644;2339;2957;2714;1928;2154;2976;3169;28433
110033 NOVA MAMORE;348484.14;256726.05;119364.87;100795.33;123344.45;137255.89;178142.04;250982.59;419656.31;439341.1;2374092.77;;;;;;;;;;;;195643.51;155663.46;119364.87;100795.33;122629.19;137255.89;178142.04;250982.59;419656.31;292058.96;1972192.15;152840.63;101062.59;;;715.26;;;;;147282.14;401900.62;;;;;;;;;;;;941;704;419;351;424;446;619;530;665;1035;6134;;;;;;;;;;;;;;;;;;;;;;;620;497;419;351;422;446;619;530;665;747;5316;321;207;;;2;;;;;288;818;;;;;;;;;;;;4;2;5;4;4;8;7;10;29;13;86;0.43;0.28;1.19;1.14;0.94;1.79;1.13;1.89;4.36;1.26;1.4;2841;2046;1210;1112;1611;1830;2538;2011;2519;3460;21178
110034 ALVORADA D'OESTE;264660.45;182906.56;139138.37;150930.21;179733.93;210702.35;167355.11;96707.73;150949.24;326459.43;1869543.38;;;;;;;;;;;;225902.61;145939.92;136525.63;150930.21;177196.78;206196.93;164747.21;85409.86;93707.35;191600.55;1578157.05;38757.84;36966.64;2612.74;;2537.15;4505.42;2607.9;11297.87;57241.89;134858.88;291386.33;;;;;;;;;;;;779;680;536;535;612;727;610;379;558;913;6329;;;;;;;;;;;;;;;;;;;;;;;687;589;530;535;608;716;605;351;446;664;5731;92;91;6;;4;11;5;28;112;249;598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1926;1574;1371;1548;1825;2096;1661;1189;1763;2859;17812
110037 ALTO ALEGRE DOS PARECIS;119589.08;116783.86;149785.11;174182.28;190399.87;122482.11;121618.02;123692.17;340150.96;229567.01;1688250.47;;;;;;;;;;;;119589.08;116783.86;149785.11;174182.28;190399.87;122482.11;121618.02;123692.17;340150.96;229567.01;1688250.47;;;;;;;;;;;;;;;;;;;;;;;391;356;493;553;603;407;379;325;566;614;4687;;;;;;;;;;;;;;;;;;;;;;;391;356;493;553;603;407;379;325;566;614;4687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;6;;;;;;;;1.23;0.35;;0.13;1131;957;1275;1471;1663;1114;1137;893;1967;1875;13483
110040 ALTO PARAISO;128637.78;111234.49;94439.25;94168.15;129443.66;117265.94;142301.54;130504.45;180173.38;115441.33;1243609.97;;;;;;;;;;;;128637.78;111234.49;94439.25;94168.15;129443.66;117265.94;142301.54;130504.45;180173.38;115441.33;1243609.97;;;;;;;;;;;;;;;;;;;;;;;461;387;337;325;405;477;486;332;262;301;3773;;;;;;;;;;;;;;;;;;;;;;;461;387;337;325;405;477;486;332;262;301;3773;;;;;;;;;;;;;;;;;;;;;;;;1;;2;3;3;3;2;4;1;19;;0.26;;0.62;0.74;0.63;0.62;0.6;1.53;0.33;0.5;1128;952;899;838;1126;1154;1133;790;773;777;9570
110045 BURITIS;384470.17;420890.06;246217.8;285806.42;194714.85;276116.45;352997.15;426859.98;702415.16;547470.22;3837958.26;;;;;;;;;;;;354261.73;371925.01;199453.52;198462.36;170932.58;215431.28;306675.34;368949.72;646579.31;482996.68;3315667.53;30208.44;48965.05;46764.28;87344.06;23782.27;60685.17;46321.81;57910.26;55835.85;64473.54;522290.73;;;;;;;;;;;;1068;1171;661;793;580;728;925;893;1016;1105;8940;;;;;;;;;;;;;;;;;;;;;;;983;1051;554;608;532;616;833;789;924;995;7885;85;120;107;185;48;112;92;104;92;110;1055;;;;;;;;;;;;10;16;6;16;14;7;15;25;45;37;191;0.94;1.37;0.91;2.02;2.41;0.96;1.62;2.8;4.43;3.35;2.14;2058;2815;1970;2253;1544;1924;2476;2559;3210;3182;23991
110050 NOVO HORIZONTE DO OESTE;135724.32;178890.74;120876.47;75017.17;113883.69;113266.95;184090.05;88082.66;219667.94;242781.28;1472281.27;;;;;;;;;;;;135724.32;178890.74;120876.47;75017.17;113883.69;113266.95;184090.05;88082.66;219667.94;242781.28;1472281.27;;;;;;;;;;;;;;;;;;;;;;;465;619;526;410;488;368;518;309;339;487;4529;;;;;;;;;;;;;;;;;;;;;;;465;619;526;410;488;368;518;309;339;487;4529;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;5;2;6;6;20;7;52;;0.32;0.38;0.49;1.02;0.54;1.16;1.94;5.9;1.44;1.15;961;1257;927;771;932;945;1276;715;1322;1619;10725
110060 CACAULANDIA;32567.06;26038.87;26240.24;19258.03;13370.71;14813.22;17964.66;10171.25;96162.56;41492.38;298078.98;;;;;;;;;;;;32567.06;26038.87;26240.24;19258.03;13370.71;14813.22;17964.66;10171.25;96162.56;41492.38;298078.98;;;;;;;;;;;;;;;;;;;;;;;100;74;88;56;43;42;49;35;141;84;712;;;;;;;;;;;;;;;;;;;;;;;100;74;88;56;43;42;49;35;141;84;712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368;279;320;229;155;185;226;140;473;261;2636
110070 CAMPO NOVO DE RONDONIA;229161.05;179565.52;93988.59;92991.13;90668.16;124883.77;84849.61;30918.39;21133.18;34566.33;982725.73;;;;;;;;;;;;229161.05;179565.52;93988.59;92991.13;90668.16;124883.77;84849.61;30918.39;21133.18;34566.33;982725.73;;;;;;;;;;;;;;;;;;;;;;;624;517;271;274;273;362;239;67;60;99;2786;;;;;;;;;;;;;;;;;;;;;;;624;517;271;274;273;362;239;67;60;99;2786;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;1;2;3;10;;0.19;;;;;1.26;1.49;3.33;3.03;0.36;1501;1274;571;713;677;859;602;177;169;261;6804
110080 CANDEIAS DO JAMARI;;;;;;;;;;9711.79;9711.79;;;;;;;;;;;;;;;;;;;;;9711.79;9711.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;90
110090 CASTANHEIRAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110092 CHUPINGUAIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110094 CUJUBIM;;;22857.19;60782.28;324654.21;269921.69;167048.01;101474.25;404636.46;205593.32;1556967.41;;;;;;;;;;;;;;22857.19;60782.28;324654.21;269921.69;167048.01;101474.25;404636.46;205593.32;1556967.41;;;;;;;;;;;;;;;;;;;;;;;;;109;223;1027;848;594;293;773;528;4395;;;;;;;;;;;;;;;;;;;;;;;;;109;223;1027;848;594;293;773;528;4395;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;13;17;31;;;;;0.1;;;;1.68;3.22;0.71;;;93;170;779;1356;101;;;;2499
110100 GOVERNADOR JORGE TEIXEIRA;68942.82;91426.35;61681.26;46915.97;6813.44;;;;;21747.38;297527.22;;;;;;;;;;;;68942.82;91426.35;61681.26;46915.97;6813.44;;;;;21747.38;297527.22;;;;;;;;;;;;;;;;;;;;;;;323;354;214;144;20;;;;;60;1115;;;;;;;;;;;;;;;;;;;;;;;323;354;214;144;20;;;;;60;1115;;;;;;;;;;;;;;;;;;;;;;;2;2;1;;;;;;;;5;0.62;0.56;0.47;;;;;;;;0.45;976;903;586;356;50;;;;;160;3031
110110 ITAPUA DO OESTE;;;;;26172.1;12051.4;;7676.22;46785.88;15621.23;108306.83;;;;;;;;;;;;;;;;26172.1;12051.4;;7676.22;46785.88;15621.23;108306.83;;;;;;;;;;;;;;;;;;;;;;;;;;;76;38;;20;76;49;259;;;;;;;;;;;;;;;;;;;;;;;;;;;76;38;;20;76;49;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;5;;;0.39;;;;;122;42;;26;94;82;366
110120 MINISTRO ANDREAZZA;174066.5;140252.99;102497.82;73288;78039.44;45520.31;49323.13;31442.96;71240.72;65463.25;831135.12;;;;;;;;;;;;174066.5;140252.99;102497.82;73288;78039.44;45520.31;49323.13;31442.96;71240.72;65463.25;831135.12;;;;;;;;;;;;;;;;;;;;;;;485;405;320;231;246;142;143;98;94;163;2327;;;;;;;;;;;;;;;;;;;;;;;485;405;320;231;246;142;143;98;94;163;2327;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;4;6;0.21;;;;;;;1.02;;2.45;0.26;1317;1087;823;570;552;365;418;256;328;528;6244
110130 MIRANTE DA SERRA;310165.34;288505.19;145019.3;112095.65;177238.66;120115.15;114039.29;101072.6;140301.09;247749.72;1756301.99;;;;;;;;;;;;300342.2;274316.21;145019.3;112095.65;177238.66;119569.42;114039.29;101072.6;140301.09;247749.72;1731744.14;9823.14;14188.98;;;;545.73;;;;;24557.85;;;;;;;;;;;;926;835;406;349;558;308;319;222;223;498;4644;;;;;;;;;;;;;;;;;;;;;;;908;809;406;349;558;307;319;222;223;498;4599;18;26;;;;1;;;;;45;;;;;;;;;;;;1;;;1;1;2;7;4;10;7;33;0.11;;;0.29;0.18;0.65;2.19;1.8;4.48;1.41;0.71;1983;1824;922;768;1252;716;977;785;912;2190;12329
110140 MONTE NEGRO;411812.72;254829.39;12605.94;;53079.9;200649.17;216004.25;114955.98;212984.39;154241.05;1631162.79;;;;;;;;;;;;236329.79;236041.24;8785.83;;53079.9;95948.74;116338.55;112934.2;212984.39;123709.02;1196151.66;175482.93;18788.15;3820.11;;;104700.43;99665.7;2021.78;;30532.03;435011.13;;;;;;;;;;;;1030;828;34;;155;533;494;243;269;301;3887;;;;;;;;;;;;;;;;;;;;;;;685;790;27;;155;307;311;239;269;258;3041;345;38;7;;;226;183;4;;43;846;;;;;;;;;;;;7;6;;;;;1;3;13;9;39;0.68;0.72;;;;;0.2;1.23;4.83;2.99;1;2587;2088;70;;363;1040;1353;835;1139;1301;10776
110143 NOVA UNIAO;41876.86;51833.01;48712.06;31286.32;24943.9;28582.96;32764.16;19273.8;151116.51;46416.6;476806.18;;;;;;;;;;;;41876.86;50771.62;48712.06;31286.32;24943.9;28582.96;32764.16;19273.8;151116.51;46416.6;475744.79;;1061.39;;;;;;;;;1061.39;;;;;;;;;;;;142;211;185;123;96;87;100;48;185;123;1300;;;;;;;;;;;;;;;;;;;;;;;142;208;185;123;96;87;100;48;185;123;1297;;3;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;317;238;239;205;196;226;241;103;461;376;2602
110145 PARECIS;10092.86;10669.24;10448.14;10664.67;10766.83;10846.13;10840.03;10765.3;9423.45;58786.06;153302.71;;;;;;;;;;;;10092.86;10669.24;10448.14;10664.67;10766.83;10846.13;10840.03;10765.3;9423.45;58786.06;153302.71;;;;;;;;;;;;;;;;;;;;;;;223;237;232;236;239;239;239;240;210;246;2341;;;;;;;;;;;;;;;;;;;;;;;223;237;232;236;239;239;239;240;210;246;2341;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;1;4;;0.42;;;;;0.42;;0.48;0.41;0.17;226;236;230;238;242;279;238;268;209;357;2523
110146 PIMENTEIRAS DO OESTE;26693.51;13379.12;11765.05;31894.33;38081.41;40782.77;35186.79;34540.62;14340.28;25192.77;271856.65;;;;;;;;;;;;26693.51;13379.12;11765.05;31894.33;38081.41;40782.77;35186.79;34540.62;14340.28;25192.77;271856.65;;;;;;;;;;;;;;;;;;;;;;;103;79;49;119;118;119;117;58;28;57;847;;;;;;;;;;;;;;;;;;;;;;;103;79;49;119;118;119;117;58;28;57;847;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;0.84;;;;;;;0.12;245;199;160;323;441;409;406;162;80;176;2601
110147 PRIMAVERA DE RONDONIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110148 SAO FELIPE D'OESTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110149 SAO FRANCISCO DO GUAPORE;79181.09;474381.97;431008.32;508177.69;724284.88;655033.55;636427.53;557223.26;576972.26;445125.65;5087816.2;;;;;;;;;;;;61900.4;293220.17;237230.95;238797.78;322104.74;222024.06;289075.42;254127.81;378731.83;219030.52;2516243.68;17280.69;181161.8;193777.37;269379.91;402180.14;433009.49;347352.11;303095.45;198240.43;226095.13;2571572.52;;;;;;;;;;;;245;1331;1210;1193;1618;1457;1472;1103;853;858;11340;;;;;;;;;;;;;;;;;;;;;;;209;969;904;769;996;753;896;619;546;527;7188;36;362;306;424;622;704;576;484;307;331;4152;;;;;;;;;;;;;5;4;4;12;12;11;19;24;13;104;;0.38;0.33;0.34;0.74;0.82;0.75;1.72;2.81;1.52;0.92;525;2901;2645;2745;3834;3003;3257;2614;2428;1944;25896
110150 SERINGUEIRAS;101764.07;261283.89;130586.93;138110.89;216993.92;170019.94;144768.33;116448.03;256624.22;451931.05;1988531.27;;;;;;;;;;;;37437.22;147241.27;119104.61;134600.45;136261.71;120813.14;92698.21;74765.21;104630.45;175483.25;1143035.52;64326.85;114042.62;11482.32;3510.44;80732.21;49206.8;52070.12;41682.82;151993.77;276447.8;845495.75;;;;;;;;;;;;296;790;469;500;656;545;449;407;576;1049;5737;;;;;;;;;;;;;;;;;;;;;;;118;503;444;490;448;406;331;323;253;536;3852;178;287;25;10;208;139;118;84;323;513;1885;;;;;;;;;;;;1;2;;;1;4;1;4;10;7;30;0.34;0.25;;;0.15;0.73;0.22;0.98;1.74;0.67;0.52;701;1750;1163;1158;1489;1446;1043;916;1500;2647;13813
110155 TEIXEIROPOLIS;41331.06;23272.65;22635.48;36713.65;15080.18;9592.25;38216.42;21429.95;56875.4;21904.88;287051.92;;;;;;;;;;;;41331.06;23272.65;22635.48;36713.65;15080.18;9592.25;38216.42;21429.95;56875.4;21904.88;287051.92;;;;;;;;;;;;;;;;;;;;;;;145;73;63;98;40;26;115;58;88;48;754;;;;;;;;;;;;;;;;;;;;;;;145;73;63;98;40;26;115;58;88;48;754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;3;;;;;;;;3.45;1.14;;0.4;328;161;135;222;54;74;256;150;306;138;1824
110160 THEOBROMA;7481.08;16920.28;46299.02;20324.59;33312.63;61828.07;54526.4;40261.36;34761.36;39120.94;354835.73;;;;;;;;;;;;7481.08;16920.28;46299.02;20324.59;33312.63;61828.07;54526.4;40261.36;34761.36;39120.94;354835.73;;;;;;;;;;;;;;;;;;;;;;;58;88;151;60;162;193;160;115;88;101;1176;;;;;;;;;;;;;;;;;;;;;;;58;88;151;60;162;193;160;115;88;101;1176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;2;5;;;;;;;1.88;;;1.98;0.43;78;139;407;229;339;448;424;289;255;415;3023
110170 URUPA;48270.17;39077.7;167316.05;97717.7;117426.45;78373.76;106109.36;54465.08;200100.15;279509.38;1188365.8;;;;;;;;;;;;48270.17;39077.7;167316.05;97717.7;117426.45;78373.76;106109.36;54465.08;192943.76;136436.31;1038136.34;;;;;;;;;7156.39;143073.07;150229.46;;;;;;;;;;;;169;112;437;263;319;218;278;145;255;528;2724;;;;;;;;;;;;;;;;;;;;;;;169;112;437;263;319;218;278;145;243;341;2525;;;;;;;;;12;187;199;;;;;;;;;;;;;;1;3;5;3;2;5;11;6;36;;;0.23;1.14;1.57;1.38;0.72;3.45;4.31;1.14;1.32;383;287;1198;781;1163;741;967;372;688;1145;7725
110175 VALE DO ANARI;40323.7;35078.02;17269.97;38499.78;47118.98;32301.78;34526.25;;23919.24;49434.9;318472.62;;;;;;;;;;;;40323.7;35078.02;17269.97;38499.78;47118.98;32301.78;34526.25;;23919.24;49434.9;318472.62;;;;;;;;;;;;;;;;;;;;;;;116;125;60;129;147;106;97;;46;144;970;;;;;;;;;;;;;;;;;;;;;;;116;125;60;129;147;106;97;;46;144;970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;350;158;656;448;323;291;;190;554;3252
110180 VALE DO PARAISO;50870.51;43782.14;36879.14;34480.49;33417.43;47869.92;24156.86;44309.66;172358.77;65511.51;553636.43;;;;;;;;;;;;50870.51;43782.14;36879.14;34480.49;33417.43;47869.92;24156.86;44309.66;172358.77;65511.51;553636.43;;;;;;;;;;;;;;;;;;;;;;;166;136;119;117;94;143;71;84;171;162;1263;;;;;;;;;;;;;;;;;;;;;;;166;136;119;117;94;143;71;84;171;162;1263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;8;;;;;;;;;4.68;;0.63;179;150;142;135;156;262;117;234;760;597;2732
 MUNICIPIO IGNORADO  AC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120001 ACRELANDIA;76492.2;59797.38;48367.36;59370.98;22716.2;33821.53;34967.32;42107.46;25057.43;62368.79;465066.65;;;;;;;;;;;;76492.2;59797.38;48367.36;59370.98;22716.2;33821.53;34967.32;42107.46;25057.43;62368.79;465066.65;;;;;;;;;;;;;;;;;;;;;;;202;173;150;191;60;107;106;86;62;141;1278;;;;;;;;;;;;;;;;;;;;;;;202;173;150;191;60;107;106;86;62;141;1278;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;2;2;;4;11;0.5;0.58;;;1.67;;1.89;2.33;;2.84;0.86;527;439;398;443;150;224;291;248;165;391;3276
120005 ASSIS BRASIL;81641.86;48194.27;66602.56;37097.62;54894.27;61843.32;51979.45;91339.55;119904.08;76020.17;689517.15;;;;;;;;;;;;81641.86;48194.27;66602.56;37097.62;54894.27;61843.32;51979.45;91339.55;119904.08;76020.17;689517.15;;;;;;;;;;;;;;;;;;;;;;;265;165;193;124;161;191;139;296;380;184;2098;;;;;;;;;;;;;;;;;;;;;;;265;165;193;124;161;191;139;296;380;184;2098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;1;4;;;;;;;0.72;0.68;;0.54;0.19;554;427;729;339;484;506;288;821;1088;564;5800
120010 BRASILEIA;873946.37;937942.39;882625.86;814707.81;884130.9;901664.5;812796.26;936567.56;1241142.25;1102549.85;9388073.75;;;;;;;;;;;;600520.98;565512.57;556820.42;540718.68;575901.32;571370.78;465191.68;615115.27;921613.37;628868.01;6041633.08;273425.39;372429.82;325805.44;273989.13;308229.58;330293.72;347604.58;321452.29;319528.88;473681.84;3346440.67;;;;;;;;;;;;2349;2414;2353;2271;2339;2440;2246;2207;2705;2810;24134;;;;;;;;;;;;;;;;;;;;;;;1822;1751;1766;1754;1759;1808;1556;1586;2014;1866;17682;527;663;587;517;580;632;690;621;691;944;6452;;;;;;;;;;;;4;5;25;25;23;21;28;39;63;46;279;0.17;0.21;1.06;1.1;0.98;0.86;1.25;1.77;2.33;1.64;1.16;6541;6167;6921;6451;6399;6817;6037;6160;8461;9373;69327
120013 BUJARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120017 CAPIXABA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120020 CRUZEIRO DO SUL;5542250.41;5927041.56;4809023.99;4511431.41;4020347.25;4111793.42;4233547.74;5325960.2;8893422.51;4713529.86;52088348.35;;;213.59;;200.56;;;;896.39;691.96;2002.5;3319304.85;3382888.15;2678197.87;2172901.41;1910204.72;2045981.26;2162738.87;3273750.67;6786282.12;2291741.25;30023991.17;2222945.56;2544153.41;2130612.53;2338530;2109941.97;2065812.16;2070808.87;2052209.53;2106244;2421096.65;22062354.68;;;;;;;;;;;;10435;11771;9346;8683;7483;7975;8882;7864;9489;8942;90870;;;1;;1;;;;7;4;13;;;1;;1;;;;7;4;13;7191;7970;6126;4893;4171;4714;5320;4462;5997;4848;55692;3244;3801;3219;3790;3311;3261;3562;3402;3485;4090;35165;;;;;;;;;;;;127;152;129;180;202;195;218;249;410;238;2100;1.22;1.29;1.38;2.07;2.7;2.45;2.45;3.17;4.32;2.66;2.31;42135;47522;39386;42078;34648;31779;32912;30211;42732;33516;376919
120025 EPITACIOLANDIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120030 FEIJO;145406.35;210658.27;14265.63;6165.08;63385.95;150046.91;97126.6;74522.93;271379.53;391742.83;1424700.08;;;;;;;;;;;;133265.15;166640.46;12305.64;5033.62;52127.35;114454.86;68976.1;59236.22;226368.74;301377.25;1139785.39;12141.2;44017.81;1959.99;1131.46;11258.6;35592.05;28150.5;15286.71;45010.79;90365.58;284914.69;;;;;;;;;;;;475;571;32;14;173;378;286;179;624;1011;3743;;;;;;;;;;;;;;;;;;;;;;;455;491;28;12;153;314;236;152;544;851;3236;20;80;4;2;20;64;50;27;80;160;507;;;;;;;;;;;;4;2;;;2;1;5;1;8;9;32;0.84;0.35;;;1.16;0.26;1.75;0.56;1.28;0.89;0.85;1310;1299;51;19;424;723;776;608;1674;2556;9440
120032 JORDAO;;;;2038.66;;;;;;;2038.66;;;;;;;;;;;;;;;2038.66;;;;;;;2038.66;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;55
